"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Librarian with experience in running all aspects of a library service, preferably a small library in a scientific and technical environment, B5/B6 EUMETSAT salary scales, befristet						","/stellenangebote/59459","Stellenangebot","294","0,02 %"
"
							Leiterin bzw. Leiter (m/w/d), E 15 TV-L / Bes.Gr. A15 HmbBesG, unbefristet in Vollzeit (Bewerbungsfrist verlängert)						","/stellenangebote/62059","Stellenangebot","293","0,02 %"
"
							Abteilungsleiter Ausleihe Hauptbibliothek (m/w/d), Vollzeit, unbefristet; EG 9c TVöD						","/stellenangebote/58584","Stellenangebot","292","0,02 %"
"
							Bibliothekare/Bibliothekarinnen, E 9b, unbefristet in Vollzeit (Ausschreibungsnummer 45 03/21 01)						","/stellenangebote/59376","Stellenangebot","292","0,02 %"
"
							2 Stellen als Bibliothekar*in (m/w/d), Besoldungsgruppe A 11 BBesO / Entgeltgruppe 11 TVöD (je nach Qualifikation), unbefristet in Vollzeit						","/stellenangebote/63342","Stellenangebot","292","0,02 %"
"
							Fachangestellte/r für Medien- und Informationsdienste oder Bibliotheksassistent/in (m/w/d) (E6, unbefristet)						","/stellenangebote/57452","Stellenangebot","291","0,02 %"
"
							Anwendungsbetreuer im Bibliothekswesen (M/W/D), E10 TVöD, Vollzeit, ab sofort						","/stellenangebote/58941","Stellenangebot","291","0,02 %"
"
							Referent (w/m/d), A 13/A 14 BBesO bzw. E 13/14 TVöD, befristet bis zunächst zum 30. Juni 2022, Kennziffer ID 3/Aushilfe						","/stellenangebote/60656","Stellenangebot","291","0,02 %"
"
							Mitarbeiter*in (m/w/d) im FDM für die Geisteswissenschaften, E 13 TV-L, zunächst befristet in Vollzeit (Teilzeit möglich)						","/stellenangebote/57430","Stellenangebot","290","0,02 %"
"
							Festivalhelfer:innen für das White Ravens Festival 2021						","/stellenangebote/62012","Stellenangebot","290","0,02 %"
"
							Wissenschaftsmanager*in, E 14 TVöD, unbefristet, Kennziffer 106/2021						","/stellenangebote/68601","Stellenangebot","289","0,02 %"
"
							Wissenschaftlichen Mitarbeiterin/Mitarbeiters (m/w/d) im Bereich Archiv/Dokumentation, TV-L E13, unbefristet, Vollzeit						","/stellenangebote/66189","Stellenangebot","288","0,02 %"
"
							Bachelorabschluss in Bibliothekswesen / Bibliotheks- und Informationswissenschaft / Diplombibliothekar/in, BesGr A9/11 bzw. E9b TVöD, Vollzeit, Kennziffer/Referenzcode: B750434PA-2021-00007975-E						","/stellenangebote/68014","Stellenangebot","287","0,02 %"
"
							Leitung Bereich Open Science innerhalb der Bibliothek (Bib 26), E 13 TV-L, Vollzeit						","/stellenangebote/57211","Stellenangebot","285","0,02 %"
"
							Bibliothekarin/Bibliothekar (70%)						","/stellenangebote/59874","Stellenangebot","285","0,02 %"
"
							Fachangestellten (w/m/d) für Medien- und Informations­dienste bzw. Bibliotheksassistenten (w/m/d), TVöD-VKA E 9a / A8, Vollzeit, unbefristet						","/stellenangebote/60989","Stellenangebot","285","0,02 %"
"
							Bibliothekar:in in Zürich, unbefristet in Vollzeit						","/stellenangebote/62005","Stellenangebot","285","0,02 %"
"
							Bibliothekar_in oder Informationswissenschaftler_in (w/m/d), unbefristet in Vollzeit, KennNr. 549						","/stellenangebote/66708","Stellenangebot","285","0,02 %"
"
							Wissenschaftliche*r Mitarbeiter*in (m/w/d), befristet für 3 Jahre, E 13 TV-L HU, Kennziffer AN/041/21						","/stellenangebote/58849","Stellenangebot","284","0,02 %"
"
							Projektkoordinator*in für Regionalprojekt „Grüne Bibliotheken in der Region Nordafrika Nahost“, befristet in Teilzeit, Vergütung/Honorar nach Ortsüblichkeit						","/stellenangebote/61219","Stellenangebot","283","0,02 %"
"
							Bibliothekar/-in im Team Information und Lesesäle (m/w/d) (EG 9b TV-L), Vollzeit; der Arbeitsplatz ist grds. teilzeitgeeignet, unbefristet, VK 10/21						","/stellenangebote/63218","Stellenangebot","283","0,02 %"
"
							Leitung des Teams Open Science (w/m/d), Vollzeit, E 13 TV-L						","/stellenangebote/68039","Stellenangebot","283","0,02 %"
"
							DH Consultant (m/w/d) für das Digital Humanities Center, E 13 TV-L / A 13, unbefristet, Vollzeit, Stellenpin: 210521-469214 / 661320						","/stellenangebote/61913","Stellenangebot","282","0,02 %"
"
							Bibliothekar/in (m/w/d) als stellvertretende Leitung der Stadtbücherei, E 11 TVÖD, Teilzeit 70%, unbefristet						","/stellenangebote/61144","Stellenangebot","281","0,02 %"
"
							Werkstudent (w/m/d) Bibliotheksassistenz, Vergütung?						","/stellenangebote/62229","Stellenangebot","279","0,02 %"
"
							Wissenschaftliche Koordination und Stellvertretende Leitung, E 13 TV-L (70%)						","/stellenangebote/57596","Stellenangebot","278","0,02 %"
"
							Abteilungsleiter*in Medienmanagement, E 12 TVöD / A 13 LBesG, unbefristet, Vollzeit						","/stellenangebote/59040","Stellenangebot","277","0,02 %"
"
							Manager Open Access (m/w/d), unbefristet, Vollzeit, Berlin oder remote deutschlandweit						","/stellenangebote/64453","Stellenangebot","277","0,02 %"
"
							Information & Library Specialist						","/stellenangebote/64752","Stellenangebot","277","0,02 %"
"
							Ausbildung FaMI FR Bibliothek, TVA-L BBiG						","/stellenangebote/57555","Stellenangebot","276","0,02 %"
"
							Mitarbeiter/in (m/w/d) für Öffentlichkeits- und Projektarbeit, A 11 / E 10 TV-L, unbefristet in Vollzeit, Teilzeit möglich, Kennziffer 27/2021						","/stellenangebote/58907","Stellenangebot","276","0,02 %"
"
							Mitarbeiter*in (m/w/d) in der Hochschulbibliothek im Bereich Informationskompetenz, Zeitschriftenerwerbung und Open-Access, E 10 TVöD, unbefristet in Vollzeit						","/stellenangebote/61014","Stellenangebot","276","0,02 %"
"
							Assistenz des Vorstandes (m/w/d), Minijobverhältnis, 8 Stunden pro Woche im Home-Office						","/stellenangebote/61129","Stellenangebot","276","0,02 %"
"
							Mitarbeiter Bibliothek (m/w/d), E 7 TVöD, unbefristet, 34 Stunden						","/stellenangebote/62255","Stellenangebot","276","0,02 %"
"
							Implementation Consultant für Bibliothekslösungen; unbefristet in Vollzeit						","/stellenangebote/63977","Stellenangebot","276","0,02 %"
"
							Ausbildung Fachangestellte / Fachangestellter für Medien- und Informationsdienste, Fachrichtung Archiv (m/w/d)						","/stellenangebote/58253","Stellenangebot","275","0,02 %"
"
							Systembibliothekar_in (m/w/d), bis E 11 TV-L, zunächst befristet auf 24 Monate, Teilzeit & Telearbeit möglich, 1/2021						","/stellenangebote/58628","Stellenangebot","275","0,02 %"
"
							Leiter*in des Referats Landesbibliothek digital, E13 TV-L; unbefristet in Vollzeit; Kennziffer 44/21						","/stellenangebote/68081","Stellenangebot","275","0,02 %"
"
							Fachangestellte/n für Medien- und Informationsdienste oder Bibliotheksassistent/in (w/m/d), TVöD E 8, Vollzeit, Kennziffer 2119						","/stellenangebote/66880","Stellenangebot","274","0,02 %"
"
							Fachangestellter (m/w/d) für Medien- und Informationsdienste (Fachrichtung Archiv- oder Bibliothekswesen), Sachbearbeitung, E 8 TVöD, Vollzeit						","/stellenangebote/61577","Stellenangebot","273","0,02 %"
"
							Fachangestellten für Medien- und Informationsdienste, E 6, Teilzeit						","/stellenangebote/63746","Stellenangebot","273","0,02 %"
